Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
Advances in Continuous and Discrete Models,ADV CONTIN DISCRET M,SPRINGER,N/A,2731-4235,"MATHEMATICS, APPLIED",SCIE,261,1.8,Q1,1.33,92.13%
BIOLOGY & PHILOSOPHY,BIOL PHILOS,SPRINGER,0169-3867,1572-8404,HISTORY & PHILOSOPHY OF SCIENCE,"AHCI, SCIE, SSCI","1,686",1.8,Q1,1.66,50.36%
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,COMP BIOCHEM PHYS B,ELSEVIER SCIENCE INC,1096-4959,1879-1107,ZOOLOGY,SCIE,"5,982",1.8,Q1,0.75,7.11%
CULTURE MEDICINE AND PSYCHIATRY,CULT MED PSYCHIAT,SPRINGER,0165-005X,1573-076X,ANTHROPOLOGY,SSCI,"1,563",1.8,Q1,0.74,34.78%
ENVIRONMENTAL AND ECOLOGICAL STATISTICS,ENVIRON ECOL STAT,SPRINGER,1352-8505,1573-3009,STATISTICS & PROBABILITY,SCIE,"1,142",1.8,Q1,0.98,43.69%
European Journal for Philosophy of Science,EUR J PHILOS SCI,SPRINGER,1879-4912,1879-4920,HISTORY & PHILOSOPHY OF SCIENCE,"AHCI, SCIE",919,1.8,Q1,1.45,65.43%
INTERNATIONAL JOURNAL OF PRIMATOLOGY,INT J PRIMATOL,SPRINGER,0164-0291,1573-8604,ZOOLOGY,SCIE,"3,339",1.8,Q1,1.08,36.61%
JOURNAL OF COMPLEXITY,J COMPLEXITY,ACADEMIC PRESS INC ELSEVIER SCIENCE,0885-064X,1090-2708,MATHEMATICS,SCIE,"1,390",1.8,Q1,1.06,18.80%
JOURNAL OF COMPLEXITY,J COMPLEXITY,ACADEMIC PRESS INC ELSEVIER SCIENCE,0885-064X,1090-2708,"MATHEMATICS, APPLIED",SCIE,"1,390",1.8,Q1,1.06,18.80%
JOURNAL OF INEQUALITIES AND APPLICATIONS,J INEQUAL APPL,SPRINGER,1029-242X,1029-242X,MATHEMATICS,SCIE,"3,824",1.8,Q1,1.12,100%
JOURNAL OF INEQUALITIES AND APPLICATIONS,J INEQUAL APPL,SPRINGER,1029-242X,1029-242X,"MATHEMATICS, APPLIED",SCIE,"3,824",1.8,Q1,1.12,100%
Journal of Statistical Theory and Applications,J STAT THEORY APPL,SPRINGERNATURE,N/A,2214-1766,STATISTICS & PROBABILITY,ESCI,372,1.8,Q1,0.73,100%
NONLINEAR ANALYSIS-REAL WORLD APPLICATIONS,NONLINEAR ANAL-REAL,PERGAMON-ELSEVIER SCIENCE LTD,1468-1218,1878-5719,"MATHEMATICS, APPLIED",SCIE,"5,250",1.8,Q1,1.03,11.31%
STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE,STUD HIST PHILOS SCI,ELSEVIER SCI LTD,0039-3681,1879-2510,HISTORY & PHILOSOPHY OF SCIENCE,"AHCI, SCIE, SSCI","1,969",1.8,Q1,1.41,39.78%
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,BEHAV ECOL SOCIOBIOL,SPRINGER,0340-5443,1432-0762,ZOOLOGY,SCIE,"11,298",1.9,Q1,0.82,42.38%
Biological Theory,BIOL THEORY,SPRINGERNATURE,1555-5542,1555-5550,HISTORY & PHILOSOPHY OF SCIENCE,ESCI,714,1.9,Q1,1.18,51.85%
Biosemiotics,BIOSEMIOTICS-NETH,SPRINGER,1875-1342,1875-1350,HISTORY & PHILOSOPHY OF SCIENCE,"AHCI, SCIE, SSCI",480,1.9,Q1,2.42,37.80%
International Journal of Dynamics and Control,INT J DYNAM CONTROL,SPRINGERNATURE,2195-268X,2195-2698,"MATHEMATICS, APPLIED",ESCI,"2,286",1.9,Q1,0.71,3.59%
JOURNAL OF CLASSIFICATION,J CLASSIF,SPRINGER,0176-4268,1432-1343,STATISTICS & PROBABILITY,SCIE,"2,173",1.9,Q1,0.72,35.80%
ORGANISMS DIVERSITY & EVOLUTION,ORG DIVERS EVOL,SPRINGER HEIDELBERG,1439-6092,1618-1077,ZOOLOGY,SCIE,"1,553",1.9,Q1,0.8,34.92%
Philosophy Ethics and Humanities in Medicine,PHILOS ETHICS HUM ME,BMC,1747-5341,1747-5341,HISTORY & PHILOSOPHY OF SCIENCE,"AHCI, SCIE, SSCI",439,1.9,Q1,1.41,100%
SPACE POLICY,SPACE POLICY,ELSEVIER SCI LTD,0265-9646,1879-338X,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,847,1.9,Q1,1.04,20.59%
Trends in Organized Crime,TRENDS ORGAN CRIME,SPRINGER,1084-4791,1936-4830,CRIMINOLOGY & PENOLOGY,SSCI,761,1.9,Q1,1.54,50%
VEGETATION HISTORY AND ARCHAEOBOTANY,VEG HIST ARCHAEOBOT,SPRINGER,0939-6314,1617-6278,PALEONTOLOGY,SCIE,"2,362",1.9,Q1,0.79,54.79%
WOMENS STUDIES INTERNATIONAL FORUM,WOMEN STUD INT FORUM,PERGAMON-ELSEVIER SCIENCE LTD,0277-5395,1879-243X,WOMENS STUDIES,SSCI,"3,010",1.9,Q1,1.27,33.04%
American Journal of Criminal Justice,AM J CRIM JUSTICE,SPRINGER,1066-2316,1936-1351,CRIMINOLOGY & PENOLOGY,SSCI,"1,883",2,Q1,1.09,13.91%
Archaeological and Anthropological Sciences,ARCHAEOL ANTHROP SCI,SPRINGER HEIDELBERG,1866-9557,1866-9565,ANTHROPOLOGY,SSCI,"3,793",2,Q1,1.31,49.59%
CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,CALC VAR PARTIAL DIF,SPRINGER HEIDELBERG,0944-2669,1432-0835,MATHEMATICS,SCIE,"6,551",2,Q1,1.48,32.29%
CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,CALC VAR PARTIAL DIF,SPRINGER HEIDELBERG,0944-2669,1432-0835,"MATHEMATICS, APPLIED",SCIE,"6,551",2,Q1,1.48,32.29%
COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,COMPUT OPTIM APPL,SPRINGER,0926-6003,1573-2894,"MATHEMATICS, APPLIED",SCIE,"3,520",2,Q1,0.71,33.33%
EUROPEAN JOURNAL OF WILDLIFE RESEARCH,EUR J WILDLIFE RES,SPRINGER,1612-4642,1439-0574,ZOOLOGY,SCIE,"3,346",2,Q1,0.76,46.93%
EVALUATION AND PROGRAM PLANNING,EVAL PROGRAM PLANN,PERGAMON-ELSEVIER SCIENCE LTD,0149-7189,1873-7870,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,"3,179",2,Q1,0.96,25.94%
Journal of Child & Adolescent Trauma,J CHILD ADOLES TRAUM,SPRINGER HEIDELBERG,1936-1521,1936-153X,SOCIAL WORK,ESCI,"1,522",2,Q1,0.89,30.71%
Journal of Experimental Criminology,J EXP CRIMINOL,SPRINGER,1573-3750,1572-8315,CRIMINOLOGY & PENOLOGY,SSCI,"1,855",2,Q1,1.29,33.76%
Journal of Palaeogeography-English,J PALAEOGEOG-ENGLISH,ELSEVIER SCIENCE INC,2095-3836,2524-4507,PALEONTOLOGY,SCIE,834,2,Q1,0.87,100%
NUMERICAL ALGORITHMS,NUMER ALGORITHMS,SPRINGER,1017-1398,1572-9265,"MATHEMATICS, APPLIED",SCIE,"5,464",2,Q1,1.04,18.57%
ADVANCES IN COMPUTATIONAL MATHEMATICS,ADV COMPUT MATH,SPRINGER,1019-7168,1572-9044,"MATHEMATICS, APPLIED",SCIE,"2,854",2.1,Q1,1.1,33.90%
ANIMAL BEHAVIOUR,ANIM BEHAV,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0003-3472,1095-8282,ZOOLOGY,SCIE,"22,357",2.1,Q1,1.04,41.14%
ANIMAL COGNITION,ANIM COGN,SPRINGER HEIDELBERG,1435-9448,1435-9456,ZOOLOGY,SCIE,"4,035",2.1,Q1,0.94,61.74%
Applied Corpus Linguistics,APPL CORPUS LINGUIST,ELSEVIER,N/A,2666-7991,LINGUISTICS,ESCI,134,2.1,Q1,1.59,41.86%
Child Indicators Research,CHILD INDIC RES,SPRINGER,1874-897X,1874-8988,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,"2,667",2.1,Q1,1.06,36.62%
Educational Research for Policy and Practice,EDUC RES POLICY PRAC,SPRINGER,1570-2081,1573-1723,EDUCATION & EDUCATIONAL RESEARCH,ESCI,428,2.1,Q1,0.86,21.05%
Egyptian Journal of Biological Pest Control,EGYPT J BIOL PEST CO,SPRINGER,1110-1768,2536-9342,ENTOMOLOGY,SCIE,"2,127",2.1,Q1,0.93,100%
INSTRUCTIONAL SCIENCE,INSTR SCI,SPRINGER,0020-4277,1573-1952,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"2,889",2.1,Q1,1.13,42.74%
International Journal of Science and Mathematics Education,INT J SCI MATH EDUC,SPRINGER,1571-0068,1573-1774,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"2,986",2.1,Q1,1.08,36.69%
JOURNAL OF COMMUNICATION DISORDERS,J COMMUN DISORD,ELSEVIER SCIENCE INC,0021-9924,1873-7994,LINGUISTICS,SSCI,"2,885",2.1,Q1,1.02,19.62%
JOURNAL OF MAMMALIAN EVOLUTION,J MAMM EVOL,SPRINGER,1064-7554,1573-7055,ZOOLOGY,SCIE,"1,202",2.1,Q1,0.84,20.29%
Linguistics and Education,LINGUIST EDUC,ELSEVIER,0898-5898,1873-1864,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"1,718",2.1,Q1,1.49,34.21%
Linguistics and Education,LINGUIST EDUC,ELSEVIER,0898-5898,1873-1864,LINGUISTICS,SSCI,"1,718",2.1,Q1,1.49,34.21%
Qualitative Sociology,QUAL SOCIOL,SPRINGER,0162-0436,1573-7837,SOCIOLOGY,SSCI,"2,099",2.1,Q1,1.02,32.39%
Qualitative Theory of Dynamical Systems,QUAL THEOR DYN SYST,SPRINGER BASEL AG,1575-5460,1662-3592,MATHEMATICS,SCIE,"1,683",2.1,Q1,1.6,8.48%
Qualitative Theory of Dynamical Systems,QUAL THEOR DYN SYST,SPRINGER BASEL AG,1575-5460,1662-3592,"MATHEMATICS, APPLIED",SCIE,"1,683",2.1,Q1,1.6,8.48%
Research in Autism Spectrum Disorders,RES AUTISM SPECT DIS,ELSEVIER SCI LTD,1750-9467,1878-0237,"EDUCATION, SPECIAL",SSCI,"5,852",2.1,Q1,1.12,31.28%
Zoological Letters,ZOOL LETT,BMC,2056-306X,2056-306X,ZOOLOGY,SCIE,544,2.1,Q1,1.33,100%
APIDOLOGIE,APIDOLOGIE,SPRINGER FRANCE,0044-8435,1297-9678,ENTOMOLOGY,SCIE,"5,576",2.2,Q1,0.94,37.38%
Asian-Pacific Journal of Second and Foreign Language Education,ASIAN-PAC J SEC FOR,SPRINGER,N/A,2363-5169,EDUCATION & EDUCATIONAL RESEARCH,ESCI,518,2.2,Q1,1.05,100%
Asian-Pacific Journal of Second and Foreign Language Education,ASIAN-PAC J SEC FOR,SPRINGER,N/A,2363-5169,LINGUISTICS,ESCI,518,2.2,Q1,1.05,100%
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,COMP BIOCHEM PHYS A,ELSEVIER SCIENCE INC,1095-6433,1531-4332,ZOOLOGY,SCIE,"10,385",2.2,Q1,0.87,22.61%
EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY,EUR ARCH OTO-RHINO-L,SPRINGER,0937-4477,1434-4726,OTORHINOLARYNGOLOGY,SCIE,"14,368",2.2,Q1,1.22,34.26%
Extremes,EXTREMES,SPRINGER,1386-1999,1572-915X,STATISTICS & PROBABILITY,SCIE,725,2.2,Q1,0.64,50%
HUMAN NATURE-AN INTERDISCIPLINARY BIOSOCIAL PERSPECTIVE,HUM NATURE-INT BIOS,SPRINGER,1045-6767,1936-4776,ANTHROPOLOGY,SSCI,"1,824",2.2,Q1,1.1,52.38%
INSURANCE MATHEMATICS & ECONOMICS,INSUR MATH ECON,ELSEVIER,0167-6687,1873-5959,STATISTICS & PROBABILITY,SCIE,"4,713",2.2,Q1,0.8,25.51%
JDS Communications,JDS COMMUN,ELSEVIER,N/A,2666-9102,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",ESCI,699,2.2,Q1,0.88,99.70%
JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY,J ANTHROPOL ARCHAEOL,ACADEMIC PRESS INC ELSEVIER SCIENCE,0278-4165,1090-2686,ANTHROPOLOGY,SSCI,"2,624",2.2,Q1,1.63,30.43%
JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,J COMP PHYSIOL A,SPRINGER HEIDELBERG,0340-7594,1432-1351,ZOOLOGY,SCIE,"4,522",2.2,Q1,0.76,53.76%
JOURNAL OF CRYPTOLOGY,J CRYPTOL,SPRINGER,0933-2790,1432-1378,"MATHEMATICS, APPLIED",SCIE,"2,453",2.2,Q1,0.94,30.48%
JOURNAL OF FAMILY VIOLENCE,J FAM VIOLENCE,SPRINGER/PLENUM PUBLISHERS,0885-7482,1573-2851,FAMILY STUDIES,SSCI,"4,393",2.2,Q1,1.01,36.81%
Language Policy,LANG POLICY-NETH,SPRINGER,1568-4555,1573-1863,EDUCATION & EDUCATIONAL RESEARCH,SSCI,964,2.2,Q1,1.6,38.24%
Language Policy,LANG POLICY-NETH,SPRINGER,1568-4555,1573-1863,LINGUISTICS,SSCI,964,2.2,Q1,1.6,38.24%
MICRON,MICRON,PERGAMON-ELSEVIER SCIENCE LTD,0968-4328,1878-4291,MICROSCOPY,SCIE,"4,522",2.2,Q1,1.2,19.16%
NUMERISCHE MATHEMATIK,NUMER MATH,SPRINGER HEIDELBERG,0029-599X,0945-3245,"MATHEMATICS, APPLIED",SCIE,"7,785",2.2,Q1,1.18,52.43%
Quantum Information Processing,QUANTUM INF PROCESS,SPRINGER,1570-0755,1573-1332,"PHYSICS, MATHEMATICAL",SCIE,"8,413",2.2,Q1,0.68,9.71%
RADIATION MEASUREMENTS,RADIAT MEAS,PERGAMON-ELSEVIER SCIENCE LTD,1350-4487,1879-0925,NUCLEAR SCIENCE & TECHNOLOGY,SCIE,"7,791",2.2,Q1,0.88,25.93%
READING AND WRITING,READ WRIT,SPRINGER,0922-4777,1573-0905,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"5,183",2.2,Q1,0.98,38.65%
Veterinary and Animal Science,VET ANIM SCI,ELSEVIER,N/A,2451-943X,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",ESCI,734,2.2,Q1,0.95,98.35%
Veterinary and Animal Science,VET ANIM SCI,ELSEVIER,N/A,2451-943X,VETERINARY SCIENCES,ESCI,734,2.2,Q1,0.95,98.35%
VETERINARY PARASITOLOGY,VET PARASITOL,ELSEVIER,0304-4017,1873-2550,VETERINARY SCIENCES,SCIE,"15,342",2.2,Q1,0.95,27.51%
ANNALS OF DYSLEXIA,ANN DYSLEXIA,SPRINGER,0736-9387,1934-7243,"EDUCATION, SPECIAL",SSCI,"1,161",2.3,Q1,1.69,31.75%
ANNALS OF DYSLEXIA,ANN DYSLEXIA,SPRINGER,0736-9387,1934-7243,REHABILITATION,SSCI,"1,161",2.3,Q1,1.69,31.75%
ANNALS OF NUCLEAR ENERGY,ANN NUCL ENERGY,PERGAMON-ELSEVIER SCIENCE LTD,0306-4549,1873-2100,NUCLEAR SCIENCE & TECHNOLOGY,SCIE,"15,337",2.3,Q1,0.99,11.49%
Asia Pacific Education Review,ASIA PAC EDUC REV,SPRINGER,1598-1037,1876-407X,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"2,163",2.3,Q1,1.18,20.52%
Asian Nursing Research,ASIAN NURS RES,ELSEVIER SCIENCE INC,1976-1317,2093-7482,NURSING,"SCIE, SSCI","1,647",2.3,Q1,1.1,96.03%
BRAIN AND LANGUAGE,BRAIN LANG,ACADEMIC PRESS INC ELSEVIER SCIENCE,0093-934X,1090-2155,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,SCIE,"6,200",2.3,Q1,0.97,33.15%
BRAIN AND LANGUAGE,BRAIN LANG,ACADEMIC PRESS INC ELSEVIER SCIENCE,0093-934X,1090-2155,LINGUISTICS,SSCI,"6,200",2.3,Q1,0.97,33.15%
Chiropractic & Manual Therapies,CHIROPR MAN THER,BMC,N/A,2045-709X,REHABILITATION,SCIE,"1,129",2.3,Q1,0.88,100%
ELECTORAL STUDIES,ELECT STUD,ELSEVIER SCI LTD,0261-3794,1873-6890,POLITICAL SCIENCE,SSCI,"4,851",2.3,Q1,1.31,53.33%
INTERNATIONAL JOURNAL OF EDUCATIONAL DEVELOPMENT,INT J EDUC DEV,PERGAMON-ELSEVIER SCIENCE LTD,0738-0593,1873-4871,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"3,977",2.3,Q1,1.3,28.60%
JARO-JOURNAL OF THE ASSOCIATION FOR RESEARCH IN OTOLARYNGOLOGY,JARO-J ASSOC RES OTO,SPRINGER,1525-3961,1438-7573,OTORHINOLARYNGOLOGY,SCIE,"2,344",2.3,Q1,0.97,35.07%
JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,J MATH PURE APPL,ELSEVIER,0021-7824,1776-3371,MATHEMATICS,SCIE,"5,065",2.3,Q1,1.61,25%
JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,J MATH PURE APPL,ELSEVIER,0021-7824,1776-3371,"MATHEMATICS, APPLIED",SCIE,"5,065",2.3,Q1,1.61,25%
Journal of Differential Equations,J DIFFER EQUATIONS,ACADEMIC PRESS INC ELSEVIER SCIENCE,0022-0396,1090-2732,MATHEMATICS,SCIE,"23,551",2.3,Q1,2.06,13.97%
JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,J ELECTROMYOGR KINES,ELSEVIER SCI LTD,1050-6411,1873-5711,REHABILITATION,SCIE,"6,300",2.3,Q1,0.87,26.48%
Journal of Emergency Nursing,J EMERG NURS,ELSEVIER SCIENCE INC,0099-1767,1527-2966,EMERGENCY MEDICINE,SCIE,"2,026",2.3,Q1,1.04,7.14%
Journal of Emergency Nursing,J EMERG NURS,ELSEVIER SCIENCE INC,0099-1767,1527-2966,NURSING,"SCIE, SSCI","2,026",2.3,Q1,1.04,7.14%
JOURNAL OF INSECT PHYSIOLOGY,J INSECT PHYSIOL,PERGAMON-ELSEVIER SCIENCE LTD,0022-1910,1879-1611,ENTOMOLOGY,SCIE,"8,814",2.3,Q1,1.17,19.20%
Journal of Pediatric Nursing-Nursing Care of Children & Families,J PEDIATR NURS,ELSEVIER SCIENCE INC,0882-5963,N/A,NURSING,"SCIE, SSCI","5,848",2.3,Q1,1.19,8.88%
MAMMALIAN BIOLOGY,MAMM BIOL,SPRINGER HEIDELBERG,1616-5047,1618-1476,ZOOLOGY,SCIE,"2,663",2.3,Q1,1.14,34.83%
Mathematical Sciences,MATH SCI,SPRINGER HEIDELBERG,2008-1359,2251-7456,MATHEMATICS,SCIE,724,2.3,Q1,1.48,6.67%
Mathematical Sciences,MATH SCI,SPRINGER HEIDELBERG,2008-1359,2251-7456,"MATHEMATICS, APPLIED",SCIE,724,2.3,Q1,1.48,6.67%
PAPERS IN REGIONAL SCIENCE,PAP REG SCI,ELSEVIER SCI LTD,1056-8190,1435-5957,GEOGRAPHY,SSCI,"2,881",2.3,Q1,0.64,70.77%
RESEARCH IN HIGHER EDUCATION,RES HIGH EDUC,SPRINGER,0361-0365,1573-188X,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"4,085",2.3,Q1,1.16,29.37%
RESEARCH IN SCIENCE EDUCATION,RES SCI EDUC,SPRINGER,0157-244X,1573-1898,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"4,282",2.3,Q1,1.26,41.28%
Seminars in Oncology Nursing,SEMIN ONCOL NURS,ELSEVIER SCIENCE INC,0749-2081,1878-3449,NURSING,"SCIE, SSCI","2,688",2.3,Q1,0.84,27.43%
Advances in Life Course Research,ADV LIFE COURSE RES,ELSEVIER SCI LTD,1569-4909,1879-6974,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,"1,382",2.4,Q1,1.15,54.39%
Applied Numerical Mathematics,APPL NUMER MATH,ELSEVIER,0168-9274,1873-5460,"MATHEMATICS, APPLIED",SCIE,"6,678",2.4,Q1,1.34,15.21%
ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS,ARCH RATION MECH AN,SPRINGER,0003-9527,1432-0673,"MATHEMATICS, APPLIED",SCIE,"12,250",2.4,Q1,1.04,39.82%
AUSTRALIAN EDUCATIONAL RESEARCHER,AUST EDUC RES,SPRINGER,0311-6999,2210-5328,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"1,743",2.4,Q1,1.18,80.78%
Clinics,CLINICS,ELSEVIER ESPANA,1807-5932,1980-5322,"MEDICINE, GENERAL & INTERNAL",SCIE,"5,137",2.4,Q1,0.56,100%
CLINICS IN PERINATOLOGY,CLIN PERINATOL,W B SAUNDERS CO-ELSEVIER INC,0095-5108,1557-9840,PEDIATRICS,SCIE,"3,150",2.4,Q1,1.21,0%
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,DEV COMP IMMUNOL,ELSEVIER SCI LTD,0145-305X,1879-0089,VETERINARY SCIENCES,SCIE,"10,115",2.4,Q1,1.08,10.37%
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,DEV COMP IMMUNOL,ELSEVIER SCI LTD,0145-305X,1879-0089,ZOOLOGY,SCIE,"10,115",2.4,Q1,1.08,10.37%
European Annals of Otorhinolaryngology-Head and Neck Diseases,EUR ANN OTORHINOLARY,"ELSEVIER MASSON, CORP OFF",1879-7296,1879-730X,OTORHINOLARYNGOLOGY,SCIE,"1,828",2.4,Q1,1,6.72%
European Journal of Political Economy,EUR J POLIT ECON,ELSEVIER SCIENCE INC,0176-2680,1873-5703,POLITICAL SCIENCE,SSCI,"4,380",2.4,Q1,0.98,35.47%
Geriatric Nursing,GERIATR NURS,MOSBY-ELSEVIER,0197-4572,1528-3984,NURSING,"SCIE, SSCI","4,037",2.4,Q1,0.87,14.59%
Higher Education Policy,HIGH EDUC POLICY,PALGRAVE MACMILLAN LTD,0952-8733,1740-3863,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"1,376",2.4,Q1,0.96,14.73%
Innovative Higher Education,INNOV HIGH EDUC,SPRINGER,0742-5627,1573-1758,EDUCATION & EDUCATIONAL RESEARCH,ESCI,"1,384",2.4,Q1,1.32,31.98%
JOURNAL OF INVERTEBRATE PATHOLOGY,J INVERTEBR PATHOL,ACADEMIC PRESS INC ELSEVIER SCIENCE,0022-2011,1096-0805,ZOOLOGY,SCIE,"7,339",2.4,Q1,1.81,21.58%
Journal of Perinatology,J PERINATOL,SPRINGERNATURE,0743-8346,1476-5543,PEDIATRICS,SCIE,"9,511",2.4,Q1,1.04,16.30%
JOURNAL OF PHONETICS,J PHONETICS,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0095-4470,1095-8576,LINGUISTICS,SSCI,"3,868",2.4,Q1,1.9,44.27%
JOURNAL OF VOICE,J VOICE,MOSBY-ELSEVIER,0892-1997,1873-4588,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,SCIE,"8,284",2.4,Q1,1.43,6.09%
JOURNAL OF VOICE,J VOICE,MOSBY-ELSEVIER,0892-1997,1873-4588,OTORHINOLARYNGOLOGY,SCIE,"8,284",2.4,Q1,1.43,6.09%
JOURNAL OF WOOD SCIENCE,J WOOD SCI,SPRINGER JAPAN KK,1435-0211,1611-4663,"MATERIALS SCIENCE, PAPER & WOOD",SCIE,"3,496",2.4,Q1,0.9,100%
Physical Therapy in Sport,PHYS THER SPORT,CHURCHILL LIVINGSTONE,1466-853X,N/A,REHABILITATION,SCIE,"3,711",2.4,Q1,1,30.50%
